volcano_name,country,type,latitude_(dd),longitude_(dd),elevation_(m),continent
Soputan,Indonesia,Stratovolcano,1.11,124.73,1784,Asia
Soufriere Guadeloupe,France,Stratovolcano,16.05,-61.67,1467,Europe
Soufrière Hills,United Kingdom,Stratovolcano,16.72,-62.18,915,Europe
Soufrière St. Vincent,St. Vincent,Stratovolcano,13.33,-61.18,1220,North America
South Island,Kenya,,2.63,36.6,800,Africa
SP Mountain,United States,Cinder Cone,35.6,-111.6,2141,North America
Spurr,United States,Stratovolcano,61.3,-152.25,3374,North America
Srednii,Russia,Submarine,47.6,152.92,36,Europe
Steller,United States,Stratovolcano,58.4,-154.4,2272,North America
Stromboli,Italy,Stratovolcano,38.79,15.21,924,Europe
Sumaco,Ecuador,Stratovolcano,-0.54,-77.63,3990,South America
Sumbing,Indonesia,Stratovolcano,-7.38,110.07,3371,Asia
Sundoro,Indonesia,Stratovolcano,-7.3,109.99,3136,Asia
Sunset Craters,United States,Cinder Cone,35.37,-111.5,2447,North America
Suswa,Kenya,Shield,-1.18,36.35,2356,Africa
Suwanose-jima,Japan,Stratovolcano,29.64,129.72,799,Asia
Taal,Philippines,Caldera,14.0,120.99,311,Asia
Talang,Indonesia,Stratovolcano,-0.98,100.68,2597,Asia
Tambora,Indonesia,Stratovolcano,-8.25,118.0,2850,Asia
Tanaga and Takawangha,United States,Stratovolcano,51.89,-178.15,1806,North America
Tangkubanparahu,Indonesia,Stratovolcano,-6.77,107.6,2084,Asia
Tao-Rusyr Caldera,Russia,Stratovolcano,49.35,154.7,1325,Europe
Tarso Voon,Chad,Stratovolcano,20.92,17.28,3100,Africa
Telica Volcano,Nicaragua,Stratovolcano,12.6,-86.85,1010,North America
Tenerife,Spain,Stratovolcano,28.27,-16.64,3715,Europe
Tengger Caldera and Bromo,Indonesia,Stratovolcano,-7.94,112.95,2329,Asia
Three Fingered Jack,United States,Stratovolcano,44.5,-121.8,2390,North America
Three Sisters,United States,Stratovolcano,44.1,121.77,3100,North America
Thule Islands,United Kingdom,Stratovolcano,-59.45,-27.37,1075,Europe
Tiatia,Russia,Stratovolcano,44.35,146.26,1819,Europe
Toba,Indonesia,Caldera,2.58,98.83,2157,Asia
Todoko-Ranu,Indonesia,Caldera,1.25,127.47,979,Asia
Tokachi,Japan,,43.42,142.69,2077,Asia
Tolbachik,Russia,Stratovolcano,55.83,160.33,3682,Europe
Tolimán,Guatemala,Stratovolcano,14.61,-91.19,3158,North America
Towada,Japan,Caldera,40.47,140.92,1159,Asia
Traitor's Head,Vanuatu,Stratovolcano,-18.75,169.23,1881,Oceania
Tri Sestry,Russia,Stratovolcano,45.93,149.92,998,Europe
Tristan da Cunha,United Kingdom,Shield,-37.09,-12.28,2060,Europe
Tsurumi,Japan,Lava dome,33.28,131.43,1584,Asia
Tungurahua,Ecuador,Stratovolcano,-1.47,-78.44,2011,South America
Ubehebe Craters,United States,Maar,37.02,-117.45,752,North America
Ubinas,Peru,Stratovolcano,-16.36,-70.9,5672,South America
Udina,Russia,Stratovolcano,55.76,160.53,2923,Europe
Ugashik and Peulik,United States,Stratovolcano,57.75,-156.37,1474,North America
Uinkaret Volcanic Field,United States,Volcanic field,36.38,-113.13,1555,North America
